(['12'], 6700)
(['18'], 6315)
(['30'], 2680)
(['3'], 2254)
(['14'], 1256)
(['8'], 6754)
(['21'], 2755)
(['22'], 6738)
(['9'], 4669)
(['0'], 9432)
(['11'], 8645)
(['23'], 230)
(['17'], 1682)
(['6'], 1240)
(['25'], 2017)
(['28'], 1555)
(['26'], 4790)
(['1'], 620)
(['5'], 455)
(['19'], 523)
(['31'], 256)
(['24'], 515)
(['20'], 468)
(['27'], 162)
(['2'], 338)
(['10'], 243)
(['29'], 237)
(['15'], 201)
(['7'], 220)
(['16'], 42)
(['4'], 69)
(['12', '12'], 1368)
(['12', '18'], 235)
(['12', '30'], 42)
(['12', '3'], 28)
(['12', '14'], 42)
(['12', '8'], 166)
(['12', '21'], 96)
(['12', '22'], 84)
(['12', '9'], 897)
(['12', '0'], 389)
(['12', '11'], 1387)
(['12', '23'], 12)
(['12', '17'], 89)
(['12', '6'], 62)
(['12', '25'], 37)
(['12', '28'], 29)
(['12', '26'], 122)
(['12', '1'], 11)
(['12', '5'], 23)
(['12', '19'], 28)
(['12', '24'], 11)
(['12', '20'], 20)
(['12', '27'], 23)
(['12', '10'], 43)
(['12', '29'], 11)
(['12', '15'], 11)
(['18', '12'], 237)
(['18', '18'], 1885)
(['18', '30'], 27)
(['18', '3'], 11)
(['18', '14'], 32)
(['18', '8'], 118)
(['18', '21'], 140)
(['18', '22'], 86)
(['18', '9'], 59)
(['18', '0'], 661)
(['18', '11'], 146)
(['18', '17'], 179)
(['18', '6'], 33)
(['18', '25'], 27)
(['18', '28'], 14)
(['18', '26'], 67)
(['18', '5'], 21)
(['18', '19'], 34)
(['18', '20'], 25)
(['18', '15'], 13)
(['30', '12'], 97)
(['30', '18'], 33)
(['30', '30'], 718)
(['30', '3'], 274)
(['30', '14'], 17)
(['30', '8'], 51)
(['30', '21'], 27)
(['30', '22'], 17)
(['30', '9'], 17)
(['30', '0'], 202)
(['30', '11'], 127)
(['30', '6'], 30)
(['30', '25'], 14)
(['30', '28'], 25)
(['30', '26'], 28)
(['30', '31'], 127)
(['30', '2'], 68)
(['30', '4'], 10)
(['3', '12'], 58)
(['3', '18'], 12)
(['3', '30'], 418)
(['3', '3'], 731)
(['3', '8'], 44)
(['3', '21'], 20)
(['3', '22'], 15)
(['3', '9'], 14)
(['3', '0'], 41)
(['3', '11'], 91)
(['3', '23'], 10)
(['3', '6'], 35)
(['3', '26'], 21)
(['3', '31'], 17)
(['3', '2'], 10)
(['14', '12'], 60)
(['14', '18'], 32)
(['14', '14'], 182)
(['14', '8'], 18)
(['14', '21'], 12)
(['14', '22'], 35)
(['14', '9'], 25)
(['14', '0'], 118)
(['14', '11'], 51)
(['14', '17'], 15)
(['14', '6'], 15)
(['14', '25'], 44)
(['14', '26'], 179)
(['8', '12'], 298)
(['8', '18'], 134)
(['8', '30'], 46)
(['8', '3'], 24)
(['8', '14'], 47)
(['8', '8'], 2107)
(['8', '21'], 127)
(['8', '22'], 63)
(['8', '9'], 90)
(['8', '0'], 228)
(['8', '11'], 246)
(['8', '17'], 42)
(['8', '6'], 122)
(['8', '25'], 97)
(['8', '28'], 22)
(['8', '26'], 244)
(['8', '5'], 32)
(['8', '19'], 22)
(['8', '20'], 22)
(['8', '27'], 15)
(['8', '15'], 16)
(['21', '12'], 98)
(['21', '18'], 133)
(['21', '30'], 26)
(['21', '3'], 14)
(['21', '14'], 14)
(['21', '8'], 103)
(['21', '21'], 807)
(['21', '22'], 61)
(['21', '9'], 51)
(['21', '0'], 119)
(['21', '11'], 83)
(['21', '17'], 26)
(['21', '6'], 30)
(['21', '25'], 21)
(['21', '28'], 19)
(['21', '26'], 59)
(['21', '5'], 14)
(['21', '19'], 15)
(['21', '20'], 16)
(['22', '12'], 157)
(['22', '18'], 85)
(['22', '14'], 44)
(['22', '8'], 83)
(['22', '21'], 64)
(['22', '22'], 2420)
(['22', '9'], 30)
(['22', '0'], 593)
(['22', '11'], 158)
(['22', '23'], 20)
(['22', '17'], 14)
(['22', '6'], 32)
(['22', '28'], 51)
(['22', '26'], 26)
(['22', '5'], 11)
(['22', '19'], 20)
(['22', '24'], 24)
(['22', '29'], 17)
(['9', '12'], 1165)
(['9', '18'], 54)
(['9', '30'], 15)
(['9', '14'], 28)
(['9', '8'], 73)
(['9', '21'], 49)
(['9', '22'], 29)
(['9', '9'], 1727)
(['9', '0'], 280)
(['9', '11'], 134)
(['9', '17'], 30)
(['9', '6'], 36)
(['9', '25'], 23)
(['9', '28'], 35)
(['9', '26'], 79)
(['9', '1'], 21)
(['9', '5'], 18)
(['9', '19'], 17)
(['9', '20'], 20)
(['9', '27'], 14)
(['9', '10'], 180)
(['0', '12'], 546)
(['0', '18'], 669)
(['0', '30'], 182)
(['0', '3'], 43)
(['0', '14'], 120)
(['0', '8'], 193)
(['0', '21'], 144)
(['0', '22'], 537)
(['0', '9'], 290)
(['0', '0'], 3319)
(['0', '11'], 242)
(['0', '17'], 491)
(['0', '6'], 85)
(['0', '25'], 132)
(['0', '28'], 101)
(['0', '26'], 335)
(['0', '1'], 11)
(['0', '5'], 38)
(['0', '19'], 27)
(['0', '24'], 11)
(['0', '20'], 42)
(['0', '27'], 13)
(['0', '2'], 14)
(['0', '10'], 13)
(['0', '15'], 12)
(['11', '12'], 1725)
(['11', '18'], 101)
(['11', '30'], 47)
(['11', '3'], 30)
(['11', '14'], 43)
(['11', '8'], 169)
(['11', '21'], 81)
(['11', '22'], 78)
(['11', '9'], 131)
(['11', '0'], 160)
(['11', '11'], 3753)
(['11', '17'], 46)
(['11', '6'], 73)
(['11', '25'], 28)
(['11', '28'], 13)
(['11', '26'], 68)
(['11', '5'], 13)
(['11', '19'], 29)
(['11', '27'], 62)
(['11', '15'], 27)
(['23', '22'], 15)
(['23', '23'], 69)
(['17', '12'], 120)
(['17', '18'], 175)
(['17', '30'], 10)
(['17', '14'], 10)
(['17', '8'], 49)
(['17', '21'], 19)
(['17', '22'], 12)
(['17', '9'], 34)
(['17', '0'], 522)
(['17', '11'], 47)
(['17', '17'], 611)
(['17', '6'], 14)
(['17', '28'], 11)
(['17', '26'], 42)
(['6', '12'], 46)
(['6', '18'], 11)
(['6', '30'], 13)
(['6', '3'], 12)
(['6', '8'], 48)
(['6', '21'], 10)
(['6', '22'], 23)
(['6', '9'], 18)
(['6', '0'], 47)
(['6', '11'], 52)
(['6', '6'], 153)
(['6', '26'], 30)
(['6', '5'], 68)
(['25', '12'], 64)
(['25', '18'], 37)
(['25', '14'], 38)
(['25', '8'], 86)
(['25', '21'], 24)
(['25', '9'], 33)
(['25', '0'], 90)
(['25', '11'], 45)
(['25', '6'], 18)
(['25', '25'], 585)
(['25', '26'], 646)
(['25', '5'], 11)
(['28', '12'], 87)
(['28', '18'], 25)
(['28', '30'], 21)
(['28', '8'], 21)
(['28', '21'], 22)
(['28', '22'], 78)
(['28', '9'], 40)
(['28', '0'], 127)
(['28', '11'], 28)
(['28', '17'], 12)
(['28', '6'], 13)
(['28', '28'], 582)
(['28', '26'], 12)
(['28', '1'], 13)
(['28', '24'], 40)
(['28', '29'], 80)
(['26', '12'], 169)
(['26', '18'], 76)
(['26', '30'], 21)
(['26', '3'], 13)
(['26', '14'], 117)
(['26', '8'], 202)
(['26', '21'], 51)
(['26', '22'], 29)
(['26', '9'], 97)
(['26', '0'], 320)
(['26', '11'], 115)
(['26', '17'], 24)
(['26', '6'], 62)
(['26', '25'], 614)
(['26', '26'], 1538)
(['26', '5'], 38)
(['26', '19'], 17)
(['26', '20'], 11)
(['26', '27'], 11)
(['26', '15'], 14)
(['1', '12'], 25)
(['1', '8'], 12)
(['1', '9'], 34)
(['1', '0'], 11)
(['1', '28'], 13)
(['1', '1'], 234)
(['5', '8'], 12)
(['5', '0'], 18)
(['5', '6'], 61)
(['5', '26'], 19)
(['5', '5'], 69)
(['19', '12'], 43)
(['19', '18'], 36)
(['19', '8'], 17)
(['19', '21'], 11)
(['19', '22'], 16)
(['19', '9'], 10)
(['19', '0'], 27)
(['19', '11'], 47)
(['19', '17'], 10)
(['19', '6'], 11)
(['19', '25'], 12)
(['19', '26'], 16)
(['19', '19'], 125)
(['31', '30'], 127)
(['31', '3'], 21)
(['31', '31'], 98)
(['24', '12'], 19)
(['24', '22'], 34)
(['24', '9'], 18)
(['24', '0'], 20)
(['24', '28'], 36)
(['24', '24'], 156)
(['20', '12'], 29)
(['20', '18'], 46)
(['20', '30'], 13)
(['20', '8'], 39)
(['20', '21'], 27)
(['20', '22'], 11)
(['20', '9'], 21)
(['20', '0'], 30)
(['20', '26'], 18)
(['20', '20'], 135)
(['27', '12'], 11)
(['27', '11'], 28)
(['2', '12'], 12)
(['2', '30'], 88)
(['2', '3'], 11)
(['2', '0'], 12)
(['2', '2'], 125)
(['10', '12'], 44)
(['10', '9'], 136)
(['10', '0'], 11)
(['10', '10'], 97)
(['29', '12'], 20)
(['29', '22'], 14)
(['29', '9'], 11)
(['29', '0'], 10)
(['29', '28'], 70)
(['29', '29'], 65)
(['15', '12'], 10)
(['15', '0'], 14)
(['15', '11'], 15)
(['15', '15'], 42)
(['7', '7'], 70)
(['16', '16'], 17)
(['4', '30'], 12)
(['4', '4'], 26)
(['12', '12', '12'], 334)
(['12', '12', '18'], 14)
(['12', '12', '8'], 19)
(['12', '12', '21'], 12)
(['12', '12', '9'], 158)
(['12', '12', '0'], 24)
(['12', '12', '11'], 316)
(['12', '12', '26'], 15)
(['12', '18', '12'], 20)
(['12', '18', '18'], 38)
(['12', '18', '0'], 25)
(['12', '18', '11'], 10)
(['12', '18', '17'], 10)
(['12', '8', '12'], 13)
(['12', '8', '8'], 24)
(['12', '8', '11'], 17)
(['12', '21', '12'], 10)
(['12', '21', '21'], 12)
(['12', '21', '11'], 12)
(['12', '22', '22'], 14)
(['12', '9', '12'], 292)
(['12', '9', '9'], 248)
(['12', '9', '0'], 45)
(['12', '9', '11'], 28)
(['12', '9', '6'], 11)
(['12', '9', '26'], 19)
(['12', '9', '10'], 36)
(['12', '0', '12'], 23)
(['12', '0', '18'], 25)
(['12', '0', '9'], 35)
(['12', '0', '0'], 101)
(['12', '0', '11'], 13)
(['12', '0', '17'], 13)
(['12', '11', '12'], 433)
(['12', '11', '18'], 13)
(['12', '11', '8'], 34)
(['12', '11', '21'], 11)
(['12', '11', '22'], 18)
(['12', '11', '9'], 19)
(['12', '11', '0'], 25)
(['12', '11', '11'], 570)
(['12', '11', '17'], 10)
(['12', '11', '6'], 20)
(['12', '11', '27'], 11)
(['12', '17', '12'], 11)
(['12', '17', '0'], 20)
(['12', '17', '17'], 15)
(['12', '26', '12'], 26)
(['12', '26', '25'], 10)
(['12', '26', '26'], 19)
(['12', '10', '9'], 20)
(['18', '12', '12'], 23)
(['18', '12', '18'], 41)
(['18', '12', '11'], 22)
(['18', '18', '12'], 51)
(['18', '18', '18'], 583)
(['18', '18', '8'], 23)
(['18', '18', '21'], 26)
(['18', '18', '22'], 16)
(['18', '18', '9'], 12)
(['18', '18', '0'], 153)
(['18', '18', '11'], 36)
(['18', '18', '17'], 27)
(['18', '18', '6'], 10)
(['18', '18', '26'], 13)
(['18', '8', '18'], 19)
(['18', '8', '8'], 16)
(['18', '21', '18'], 17)
(['18', '21', '21'], 23)
(['18', '22', '18'], 18)
(['18', '0', '12'], 32)
(['18', '0', '18'], 153)
(['18', '0', '8'], 13)
(['18', '0', '21'], 10)
(['18', '0', '9'], 14)
(['18', '0', '0'], 173)
(['18', '0', '11'], 11)
(['18', '0', '17'], 35)
(['18', '11', '12'], 21)
(['18', '11', '18'], 12)
(['18', '11', '11'], 27)
(['18', '17', '12'], 10)
(['18', '17', '18'], 35)
(['18', '17', '0'], 34)
(['18', '17', '17'], 36)
(['30', '12', '30'], 10)
(['30', '12', '11'], 26)
(['30', '30', '12'], 11)
(['30', '30', '30'], 287)
(['30', '30', '3'], 38)
(['30', '30', '0'], 97)
(['30', '30', '11'], 13)
(['30', '30', '31'], 60)
(['30', '30', '2'], 11)
(['30', '3', '12'], 14)
(['30', '3', '30'], 53)
(['30', '3', '3'], 62)
(['30', '3', '11'], 20)
(['30', '0', '30'], 100)
(['30', '0', '0'], 73)
(['30', '11', '12'], 24)
(['30', '11', '11'], 34)
(['30', '31', '30'], 79)
(['30', '31', '3'], 11)
(['30', '31', '31'], 48)
(['30', '2', '30'], 14)
(['30', '2', '2'], 16)
(['3', '12', '11'], 14)
(['3', '30', '12'], 11)
(['3', '30', '30'], 41)
(['3', '30', '3'], 150)
(['3', '30', '11'], 15)
(['3', '3', '12'], 23)
(['3', '3', '30'], 93)
(['3', '3', '3'], 224)
(['3', '3', '8'], 14)
(['3', '3', '0'], 12)
(['3', '3', '11'], 41)
(['3', '3', '6'], 11)
(['3', '8', '8'], 11)
(['3', '11', '11'], 13)
(['14', '14', '12'], 12)
(['14', '14', '14'], 29)
(['14', '14', '0'], 13)
(['14', '14', '26'], 20)
(['14', '0', '0'], 31)
(['14', '11', '12'], 11)
(['14', '11', '11'], 11)
(['14', '25', '25'], 10)
(['14', '25', '26'], 14)
(['14', '26', '14'], 12)
(['14', '26', '0'], 24)
(['14', '26', '25'], 16)
(['14', '26', '26'], 24)
(['8', '12', '12'], 24)
(['8', '12', '8'], 59)
(['8', '12', '11'], 47)
(['8', '12', '26'], 11)
(['8', '18', '18'], 17)
(['8', '18', '8'], 17)
(['8', '18', '0'], 10)
(['8', '8', '12'], 60)
(['8', '8', '18'], 25)
(['8', '8', '8'], 677)
(['8', '8', '21'], 23)
(['8', '8', '22'], 16)
(['8', '8', '9'], 19)
(['8', '8', '0'], 31)
(['8', '8', '11'], 51)
(['8', '8', '6'], 53)
(['8', '8', '25'], 20)
(['8', '8', '26'], 53)
(['8', '21', '8'], 13)
(['8', '21', '21'], 18)
(['8', '22', '8'], 10)
(['8', '9', '8'], 17)
(['8', '9', '9'], 15)
(['8', '0', '18'], 12)
(['8', '0', '8'], 25)
(['8', '0', '0'], 57)
(['8', '11', '12'], 33)
(['8', '11', '8'], 23)
(['8', '11', '11'], 67)
(['8', '6', '8'], 22)
(['8', '25', '8'], 19)
(['8', '25', '25'], 16)
(['8', '25', '26'], 10)
(['8', '26', '8'], 59)
(['8', '26', '25'], 16)
(['8', '26', '26'], 43)
(['21', '12', '21'], 24)
(['21', '12', '11'], 11)
(['21', '18', '18'], 12)
(['21', '18', '21'], 37)
(['21', '8', '21'], 24)
(['21', '21', '12'], 23)
(['21', '21', '18'], 25)
(['21', '21', '8'], 12)
(['21', '21', '21'], 265)
(['21', '21', '0'], 13)
(['21', '21', '11'], 15)
(['21', '9', '9'], 10)
(['21', '0', '21'], 16)
(['21', '0', '0'], 20)
(['21', '11', '12'], 10)
(['21', '11', '11'], 18)
(['22', '12', '12'], 18)
(['22', '12', '22'], 28)
(['22', '12', '11'], 20)
(['22', '18', '18'], 10)
(['22', '18', '22'], 11)
(['22', '14', '22'], 13)
(['22', '8', '8'], 11)
(['22', '8', '22'], 12)
(['22', '21', '21'], 11)
(['22', '21', '22'], 15)
(['22', '22', '12'], 37)
(['22', '22', '14'], 10)
(['22', '22', '8'], 15)
(['22', '22', '21'], 16)
(['22', '22', '22'], 894)
(['22', '22', '0'], 228)
(['22', '22', '11'], 57)
(['22', '22', '6'], 12)
(['22', '0', '22'], 267)
(['22', '0', '0'], 138)
(['22', '11', '12'], 21)
(['22', '11', '22'], 14)
(['22', '11', '11'], 34)
(['22', '28', '28'], 14)
(['9', '12', '12'], 197)
(['9', '12', '9'], 430)
(['9', '12', '0'], 31)
(['9', '12', '11'], 42)
(['9', '12', '10'], 39)
(['9', '18', '9'], 13)
(['9', '8', '9'], 13)
(['9', '21', '9'], 14)
(['9', '9', '12'], 299)
(['9', '9', '8'], 17)
(['9', '9', '21'], 15)
(['9', '9', '9'], 628)
(['9', '9', '0'], 81)
(['9', '9', '11'], 35)
(['9', '9', '6'], 18)
(['9', '9', '26'], 11)
(['9', '9', '10'], 109)
(['9', '0', '12'], 31)
(['9', '0', '9'], 92)
(['9', '0', '0'], 76)
(['9', '11', '12'], 26)
