username,D#50-TNW-RID,D#64-HSL,D#66-OGZ,D#60-LMS,D#38-Cultureel Centrum,D#37-Sportcentrum,D#26-Bouwcampus,D#23-CITG,D#22-TNW-TN,D#VLL-LAB(TNO),D#21-BTUD,D#20-Aula,D#46-P&E lab,D#35-Drebbelweg,D#45-LSL,D#43-EGM,D#34-OCP-3ME,D#32-OCP-IO,D#30-O&S,D#30-IKC ISD-FMVG,D#31-TBM,D#08-BK-City,D#03-Science Center,D#05-TNW-BIO,D#36-EWI-LB,D#36-EWI-HB,D#19-Studuitzendbureau,D#12-TNW-DCT,D#12-Kramerslab & Proeffabriek,D#62-LR,D#62-Simona
00A6EPoJVTOJbyLDMEsSdB19GN3A/KbXKy4lokNwaJQ=,?,?,?,1,?,?,?,1,1,1,?,1,1,?,?,?,?,1,1,?,?,1,1,?,?,1,1,1,?,?,1
00GXihrBU1QwJeaMntCyNYRMoQNcT2Y+MwONM7p1cHY=,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
00iySfEoyYsqEEFMFGP1WA/mbfxyJ/9+nOWwtcCgO1o=,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?
+00K9vxO7b0WrWEgAxbz20iYkxKNs3flm+pkWZkUWX8=,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,1,1,?,?,?,1,1,?,?,?,?,1,1,?
00pOlXMp90uToRWLEZeNQPML24/sqsD63Z4kdjDNNqM=,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?
00WznLF7WowzBMDdlxyaKxuSGPEhJno1HdBmq+y6IDk=,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?
00YDpaAzQ96YE4E0qGp37o7pwhUUGFgvxQcqLDGaFEM=,?,?,?,?,?,1,1,?,?,?,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?
01BT8jYzOzxSia/g//vPzSl00HUFzYd7X27nc83z9xk=,?,?,1,1,?,1,1,?,1,1,?,1,1,?,1,?,?,1,1,?,?,?,1,?,?,1,?,1,?,?,1
01eEIMaWd3+QOp/byQKwRxHdbLjAF9lzidCvRNqMHHc=,?,?,?,?,?,?,?,?,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,1,1,1,?,?,?
01f+16VNd7mfhody6Jccd7my8VQmS+ryXc75dMyZlY4=,?,?,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?
01oPiecpzQCFuVh7wkR+3Skr3XbBEyOLLYmcodYSxyk=,?,?,?,?,?,?,?,?,?,?,?,?,1,?,1,?,?,1,1,?,?,1,1,?,?,?,?,1,1,?,?
01qz1MBggtmt6/bKEgKl2Fk6fTNI2zq+IF2WshI4/24=,?,?,?,?,?,?,?,?,?,?,?,1,1,?,?,?,?,1,1,?,?,1,?,?,?,?,?,1,?,?,?
01txMVltPJZnADegXIumoUBIQP0ekE1eoOTT3GtwEmI=,?,?,?,?,?,?,1,?,1,1,?,?,?,?,1,?,?,1,1,?,?,?,?,?,?,?,?,?,?,1,?
01UbFloJg6sHmz2DL6M1eu0CZ8boZBEH3kHIbhxvwdo=,?,?,?,?,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
01XlYW6mqVfHWcUMr2vui6ZdYLzGYgsVF5QJXJ+kPpA=,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?
020G7c2Nf0a8ujI6Y/t34dgOiXvfTwl5JMeh6G9VTs8=,?,?,?,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?
020LKSqGVLdkM2VwWspHJw4PERyoQFsQisEady09n3M=,?,?,?,?,?,?,?,?,1,1,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,1,?,?,?,1
023qzgbFVUOOeDHdeHqWCksX2YzshpTh6BHcURpWhAc=,?,?,?,?,?,?,1,?,1,1,?,?,?,?,1,?,?,1,1,?,?,1,1,?,?,?,?,1,?,?,?
023tngU3T/v0bxg7eGe6SACW7lj9NYOxBUs3NafQVQ8=,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?
026U+idzUaCcOblAp6C4qg93KMz8MLrwG1pndcotcB8=,?,?,?,?,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?
